Year,URBANISATION,SEX,REF_AREA,TIME_DETAIL,SERIES,Value
2019,_T,M,West Bank,2019,SH_ACS_DTP3,
2019,_T,M,Gaza Strip,2019,SH_ACS_DTP3,
2019,_T,M,PS,2019,SH_ACS_DTP3,93.9
2019,_T,F,West Bank,2019,SH_ACS_DTP3,
2019,_T,F,Gaza Strip,2019,SH_ACS_DTP3,
2019,_T,F,PS,2019,SH_ACS_DTP3,93.9
2019,_T,_T,West Bank,2019,SH_ACS_DTP3,91.9
2019,_T,_T,Gaza Strip,2019,SH_ACS_DTP3,96.5
2019,_T,_T,PS,2019,SH_ACS_DTP3,93.9
2019,U,M,West Bank,2019,SH_ACS_DTP3,
2019,U,M,Gaza Strip,2019,SH_ACS_DTP3,
2019,U,M,PS,2019,SH_ACS_DTP3,
2019,U,F,West Bank,2019,SH_ACS_DTP3,
2019,U,F,Gaza Strip,2019,SH_ACS_DTP3,
2019,U,F,PS,2019,SH_ACS_DTP3,
2019,U,_T,West Bank,2019,SH_ACS_DTP3,
2019,U,_T,Gaza Strip,2019,SH_ACS_DTP3,
2019,U,_T,PS,2019,SH_ACS_DTP3,94.3
2019,R,M,West Bank,2019,SH_ACS_DTP3,
2019,R,M,Gaza Strip,2019,SH_ACS_DTP3,
2019,R,M,PS,2019,SH_ACS_DTP3,
2019,R,F,West Bank,2019,SH_ACS_DTP3,
2019,R,F,Gaza Strip,2019,SH_ACS_DTP3,
2019,R,F,PS,2019,SH_ACS_DTP3,
2019,R,_T,West Bank,2019,SH_ACS_DTP3,
2019,R,_T,Gaza Strip,2019,SH_ACS_DTP3,
2019,R,_T,PS,2019,SH_ACS_DTP3,92.5
2019,Camp,M,West Bank,2019,SH_ACS_DTP3,
2019,Camp,M,Gaza Strip,2019,SH_ACS_DTP3,
2019,Camp,M,PS,2019,SH_ACS_DTP3,
2019,Camp,F,West Bank,2019,SH_ACS_DTP3,
2019,Camp,F,Gaza Strip,2019,SH_ACS_DTP3,
2019,Camp,F,PS,2019,SH_ACS_DTP3,
2019,Camp,_T,West Bank,2019,SH_ACS_DTP3,
2019,Camp,_T,Gaza Strip,2019,SH_ACS_DTP3,
2019,Camp,_T,PS,2019,SH_ACS_DTP3,92.3
