Year,SEX,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2004,F,West Bank,2004,SP_DYN_ADKL,NUMBER,65
2006,F,West Bank,2006,SP_DYN_ADKL,NUMBER,55
2010,F,West Bank,2010,SP_DYN_ADKL,NUMBER,59
2014,F,West Bank,2014,SP_DYN_ADKL,NUMBER,35
2019,F,West Bank,2019,SP_DYN_ADKL,NUMBER,39
2004,F,Gaza Strip,2004,SP_DYN_ADKL,NUMBER,76
2006,F,Gaza Strip,2006,SP_DYN_ADKL,NUMBER,67
2010,F,Gaza Strip,2010,SP_DYN_ADKL,NUMBER,65
2014,F,Gaza Strip,2014,SP_DYN_ADKL,NUMBER,66
2019,F,Gaza Strip,2019,SP_DYN_ADKL,NUMBER,48
2004,F,PS,2004,SP_DYN_ADKL,NUMBER,69
2006,F,PS,2006,SP_DYN_ADKL,NUMBER,59
2010,F,PS,2010,SP_DYN_ADKL,NUMBER,67
2014,F,PS,2014,SP_DYN_ADKL,NUMBER,48
2019,F,PS,2019,SP_DYN_ADKL,NUMBER,43
2004,_T,West Bank,2004,SP_DYN_ADKL,NUMBER,65
2006,_T,West Bank,2006,SP_DYN_ADKL,NUMBER,55
2010,_T,West Bank,2010,SP_DYN_ADKL,NUMBER,59
2014,_T,West Bank,2014,SP_DYN_ADKL,NUMBER,35
2019,_T,West Bank,2019,SP_DYN_ADKL,NUMBER,39
2004,_T,Gaza Strip,2004,SP_DYN_ADKL,NUMBER,76
2006,_T,Gaza Strip,2006,SP_DYN_ADKL,NUMBER,67
2010,_T,Gaza Strip,2010,SP_DYN_ADKL,NUMBER,65
2014,_T,Gaza Strip,2014,SP_DYN_ADKL,NUMBER,66
2019,_T,Gaza Strip,2019,SP_DYN_ADKL,NUMBER,48
2004,_T,PS,2004,SP_DYN_ADKL,NUMBER,69
2006,_T,PS,2006,SP_DYN_ADKL,NUMBER,59
2010,_T,PS,2010,SP_DYN_ADKL,NUMBER,67
2014,_T,PS,2014,SP_DYN_ADKL,NUMBER,48
2019,_T,PS,2019,SP_DYN_ADKL,NUMBER,43
