Year,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2001,West Bank,2001,SL_EMP_PCAP,NUMBER,-5.64
2002,West Bank,2002,SL_EMP_PCAP,NUMBER,-12.18
2003,West Bank,2003,SL_EMP_PCAP,NUMBER,-5.11
2004,West Bank,2004,SL_EMP_PCAP,NUMBER,16.99
2005,West Bank,2005,SL_EMP_PCAP,NUMBER,0.76
2006,West Bank,2006,SL_EMP_PCAP,NUMBER,-1.31
2007,West Bank,2007,SL_EMP_PCAP,NUMBER,7.0
2008,West Bank,2008,SL_EMP_PCAP,NUMBER,17.27
2009,West Bank,2009,SL_EMP_PCAP,NUMBER,-0.01
2010,West Bank,2010,SL_EMP_PCAP,NUMBER,-0.63
2011,West Bank,2011,SL_EMP_PCAP,NUMBER,0.65
2012,West Bank,2012,SL_EMP_PCAP,NUMBER,2.81
2013,West Bank,2013,SL_EMP_PCAP,NUMBER,3.44
2014,West Bank,2014,SL_EMP_PCAP,NUMBER,-3.31
2015,West Bank,2015,SL_EMP_PCAP,NUMBER,2.9
2016,West Bank,2016,SL_EMP_PCAP,NUMBER,9.76
2017,West Bank,2017,SL_EMP_PCAP,NUMBER,3.15
2018,West Bank,2018,SL_EMP_PCAP,NUMBER,-16.6
2001,Gaza Strip,2001,SL_EMP_PCAP,NUMBER,14.73
2002,Gaza Strip,2002,SL_EMP_PCAP,NUMBER,-8.45
2003,Gaza Strip,2003,SL_EMP_PCAP,NUMBER,-4.96
2004,Gaza Strip,2004,SL_EMP_PCAP,NUMBER,35.33
2005,Gaza Strip,2005,SL_EMP_PCAP,NUMBER,-5.48
2006,Gaza Strip,2006,SL_EMP_PCAP,NUMBER,-16.27
2007,Gaza Strip,2007,SL_EMP_PCAP,NUMBER,-25.19
2008,Gaza Strip,2008,SL_EMP_PCAP,NUMBER,2.44
2009,Gaza Strip,2009,SL_EMP_PCAP,NUMBER,0.89
2010,Gaza Strip,2010,SL_EMP_PCAP,NUMBER,6.76
2011,Gaza Strip,2011,SL_EMP_PCAP,NUMBER,-12.44
2012,Gaza Strip,2012,SL_EMP_PCAP,NUMBER,3.12
2013,Gaza Strip,2013,SL_EMP_PCAP,NUMBER,4.0
2014,Gaza Strip,2014,SL_EMP_PCAP,NUMBER,-7.02
2015,Gaza Strip,2015,SL_EMP_PCAP,NUMBER,-8.24
2016,Gaza Strip,2016,SL_EMP_PCAP,NUMBER,5.0
2017,Gaza Strip,2017,SL_EMP_PCAP,NUMBER,-5.31
2018,Gaza Strip,2018,SL_EMP_PCAP,NUMBER,5.77
2001,PS,2001,SL_EMP_PCAP,NUMBER,0.29
2002,PS,2002,SL_EMP_PCAP,NUMBER,-10.98
2003,PS,2003,SL_EMP_PCAP,NUMBER,-4.94
2004,PS,2004,SL_EMP_PCAP,NUMBER,8.19
2005,PS,2005,SL_EMP_PCAP,NUMBER,-17.14
2006,PS,2006,SL_EMP_PCAP,NUMBER,4.01
2007,PS,2007,SL_EMP_PCAP,NUMBER,-3.9
2008,PS,2008,SL_EMP_PCAP,NUMBER,14.08
2009,PS,2009,SL_EMP_PCAP,NUMBER,0.44
2010,PS,2010,SL_EMP_PCAP,NUMBER,1.19
2011,PS,2011,SL_EMP_PCAP,NUMBER,-3.79
2012,PS,2012,SL_EMP_PCAP,NUMBER,2.63
2013,PS,2013,SL_EMP_PCAP,NUMBER,3.2
2014,PS,2014,SL_EMP_PCAP,NUMBER,-2.62
2015,PS,2015,SL_EMP_PCAP,NUMBER,-0.55
2016,PS,2016,SL_EMP_PCAP,NUMBER,8.07
2017,PS,2017,SL_EMP_PCAP,NUMBER,1.88
2018,PS,2018,SL_EMP_PCAP,NUMBER,-9.62
