Year,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,2000,DC_TOF_WASHL,NUMBER,125.92
2001,2001,DC_TOF_WASHL,NUMBER,327.35
2002,2002,DC_TOF_WASHL,NUMBER,74.69
2003,2003,DC_TOF_WASHL,NUMBER,78.81
2004,2004,DC_TOF_WASHL,NUMBER,55.17
2005,2005,DC_TOF_WASHL,NUMBER,47.97
2006,2006,DC_TOF_WASHL,NUMBER,65.28
2007,2007,DC_TOF_WASHL,NUMBER,47.05
2008,2008,DC_TOF_WASHL,NUMBER,51.74
2009,2009,DC_TOF_WASHL,NUMBER,48.94
2010,2010,DC_TOF_WASHL,NUMBER,121.82
2011,2011,DC_TOF_WASHL,NUMBER,102.5
2012,2012,DC_TOF_WASHL,NUMBER,97.4
2013,2013,DC_TOF_WASHL,NUMBER,75.05
2014,2014,DC_TOF_WASHL,NUMBER,106.79
2015,2015,DC_TOF_WASHL,NUMBER,114.75
2016,2016,DC_TOF_WASHL,NUMBER,104.2
2017,2017,DC_TOF_WASHL,NUMBER,102.9
