Year,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2006,N,2006,DC_TOF_TRDCMDL,NUMBER,85.85
2007,N,2007,DC_TOF_TRDCMDL,NUMBER,65.64
2008,N,2008,DC_TOF_TRDCMDL,NUMBER,59.99
2009,N,2009,DC_TOF_TRDCMDL,NUMBER,140.27
2010,N,2010,DC_TOF_TRDCMDL,NUMBER,222.41
2011,N,2011,DC_TOF_TRDCMDL,NUMBER,178.23
2012,N,2012,DC_TOF_TRDCMDL,NUMBER,70.02
2013,N,2013,DC_TOF_TRDCMDL,NUMBER,99.83
2014,N,2014,DC_TOF_TRDCMDL,NUMBER,125.9
2015,N,2015,DC_TOF_TRDCMDL,NUMBER,103.17
2016,N,2016,DC_TOF_TRDCMDL,NUMBER,129.14
2017,N,2017,DC_TOF_TRDCMDL,NUMBER,228.75
2018,N,2018,DC_TOF_TRDCMDL,NUMBER,133.3
