Year,SEX,TIME_DETAIL,SERIES,Value
2013,M,2013,SH_STA_SCIDE,
2014,M,2014,SH_STA_SCIDE,1.69
2015,M,2015,SH_STA_SCIDE,
2016,M,2016,SH_STA_SCIDE,
2017,M,2017,SH_STA_SCIDE,
2018,M,2018,SH_STA_SCIDE,
2019,M,2019,SH_STA_SCIDE,
2013,F,2013,SH_STA_SCIDE,
2014,F,2014,SH_STA_SCIDE,0.92
2015,F,2015,SH_STA_SCIDE,
2016,F,2016,SH_STA_SCIDE,
2017,F,2017,SH_STA_SCIDE,
2018,F,2018,SH_STA_SCIDE,
2019,F,2019,SH_STA_SCIDE,
2013,_T,2013,SH_STA_SCIDE,0.8
2014,_T,2014,SH_STA_SCIDE,1.31
2015,_T,2015,SH_STA_SCIDE,0.69
2016,_T,2016,SH_STA_SCIDE,0.71
2017,_T,2017,SH_STA_SCIDE,0.85
2018,_T,2018,SH_STA_SCIDE,0.95
2019,_T,2019,SH_STA_SCIDE,1.11
