Indicator,Disaggregation combinations using this value
#1-1-1,30
#1-2-1,44
#1-2-2,30
#1-3-1,4
#1-5-1,3
#1-5-2,1
#1-a-2,9
#10-2-1,18
#10-4-1,5
#11-5-2,1
#14-5-1,1
#16-3-2,1
#16-9-1,23
#17-1-1,14
#17-1-2,2
#17-13-1,4
#17-3-2,1
#17-8-1,9
#2-2-1,14
#2-2-2,28
#2-5-1,12
#2-5-2,1
#3-1-1,1
#3-1-2,14
#3-2-1,1
#3-2-2,1
#3-3-1,1
#3-3-3,4
#3-4-1,2
#3-7-1,14
#3-7-2,2
#3-a-1,1
#3-b-1,1
#3-c-1,5
#4-4-1,1
#4-5-1,48
#4-c-1,27
#5-2-1,133
#5-2-2,1
#5-3-1,2
#5-5-1,1
#5-b-1,16
#6-1-1,14
#6-2-1,14
#6-4-1,2
#6-5-1,1
#6-b-1,2
#7-1-1,14
#8-1-1,3
#8-10-1,8
#8-5-2,72
#8-6-1,3
#8-9-1,1
#9-1-2,33
#9-2-1,5
#9-2-2,2
#9-5-1,2
#9-5-2,2
