Year,SEX,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,M,West Bank,2000,IT_MOB_OWN,PH,
2004,M,West Bank,2004,IT_MOB_OWN,PH,
2006,M,West Bank,2006,IT_MOB_OWN,PH,
2009,M,West Bank,2009,IT_MOB_OWN,PH,
2011,M,West Bank,2011,IT_MOB_OWN,PH,
2014,M,West Bank,2014,IT_MOB_OWN,PH,
2018,M,West Bank,2018,IT_MOB_OWN,PH,
2019,M,West Bank,2019,IT_MOB_OWN,PH,
2000,M,Gaza Strip,2000,IT_MOB_OWN,PH,
2004,M,Gaza Strip,2004,IT_MOB_OWN,PH,
2006,M,Gaza Strip,2006,IT_MOB_OWN,PH,
2009,M,Gaza Strip,2009,IT_MOB_OWN,PH,
2011,M,Gaza Strip,2011,IT_MOB_OWN,PH,
2014,M,Gaza Strip,2014,IT_MOB_OWN,PH,
2018,M,Gaza Strip,2018,IT_MOB_OWN,PH,
2019,M,Gaza Strip,2019,IT_MOB_OWN,PH,
2000,M,PS,2000,IT_MOB_OWN,PH,36.0
2004,M,PS,2004,IT_MOB_OWN,PH,45.1
2006,M,PS,2006,IT_MOB_OWN,PH,52.7
2009,M,PS,2009,IT_MOB_OWN,PH,66.7
2011,M,PS,2011,IT_MOB_OWN,PH,76.5
2014,M,PS,2014,IT_MOB_OWN,PH,81.8
2018,M,PS,2018,IT_MOB_OWN,PH,79.2
2019,M,PS,2019,IT_MOB_OWN,PH,
2000,F,West Bank,2000,IT_MOB_OWN,PH,
2004,F,West Bank,2004,IT_MOB_OWN,PH,
2006,F,West Bank,2006,IT_MOB_OWN,PH,
2009,F,West Bank,2009,IT_MOB_OWN,PH,
2011,F,West Bank,2011,IT_MOB_OWN,PH,
2014,F,West Bank,2014,IT_MOB_OWN,PH,
2018,F,West Bank,2018,IT_MOB_OWN,PH,
2019,F,West Bank,2019,IT_MOB_OWN,PH,
2000,F,Gaza Strip,2000,IT_MOB_OWN,PH,
2004,F,Gaza Strip,2004,IT_MOB_OWN,PH,
2006,F,Gaza Strip,2006,IT_MOB_OWN,PH,
2009,F,Gaza Strip,2009,IT_MOB_OWN,PH,
2011,F,Gaza Strip,2011,IT_MOB_OWN,PH,
2014,F,Gaza Strip,2014,IT_MOB_OWN,PH,
2018,F,Gaza Strip,2018,IT_MOB_OWN,PH,
2019,F,Gaza Strip,2019,IT_MOB_OWN,PH,
2000,F,PS,2000,IT_MOB_OWN,PH,5.2
2004,F,PS,2004,IT_MOB_OWN,PH,14.6
2006,F,PS,2006,IT_MOB_OWN,PH,22.4
2009,F,PS,2009,IT_MOB_OWN,PH,41.6
2011,F,PS,2011,IT_MOB_OWN,PH,53.6
2014,F,PS,2014,IT_MOB_OWN,PH,65.3
2018,F,PS,2018,IT_MOB_OWN,PH,
2019,F,PS,2019,IT_MOB_OWN,PH,70.5
2000,_T,West Bank,2000,IT_MOB_OWN,PH,24.4
2004,_T,West Bank,2004,IT_MOB_OWN,PH,34.6
2006,_T,West Bank,2006,IT_MOB_OWN,PH,41.9
2009,_T,West Bank,2009,IT_MOB_OWN,PH,57.4
2011,_T,West Bank,2011,IT_MOB_OWN,PH,69.5
2014,_T,West Bank,2014,IT_MOB_OWN,PH,77.5
2018,_T,West Bank,2018,IT_MOB_OWN,PH,
2019,_T,West Bank,2019,IT_MOB_OWN,PH,81.6
2000,_T,Gaza Strip,2000,IT_MOB_OWN,PH,13.0
2004,_T,Gaza Strip,2004,IT_MOB_OWN,PH,21.7
2006,_T,Gaza Strip,2006,IT_MOB_OWN,PH,30.1
2009,_T,Gaza Strip,2009,IT_MOB_OWN,PH,48.9
2011,_T,Gaza Strip,2011,IT_MOB_OWN,PH,57.8
2014,_T,Gaza Strip,2014,IT_MOB_OWN,PH,67.2
2018,_T,Gaza Strip,2018,IT_MOB_OWN,PH,
2019,_T,Gaza Strip,2019,IT_MOB_OWN,PH,64.2
2000,_T,PS,2000,IT_MOB_OWN,PH,20.6
2004,_T,PS,2004,IT_MOB_OWN,PH,30.0
2006,_T,PS,2006,IT_MOB_OWN,PH,37.7
2009,_T,PS,2009,IT_MOB_OWN,PH,54.3
2011,_T,PS,2011,IT_MOB_OWN,PH,65.2
2014,_T,PS,2014,IT_MOB_OWN,PH,73.7
2018,_T,PS,2018,IT_MOB_OWN,PH,
2019,_T,PS,2019,IT_MOB_OWN,PH,74.9
