Year,SEX,AREA,TIME_DETAIL,Value
2000,Male,West Bank,2000,
2001,Male,West Bank,2001,
2002,Male,West Bank,2002,
2006,Male,West Bank,2006,
2007,Male,West Bank,2007,
2008,Male,West Bank,2008,
2014,Male,West Bank,2014,
2015,Male,West Bank,2015,
2016,Male,West Bank,2016,
2019,Male,West Bank,2019,
2000,Male,Gaza Strip,2000,
2001,Male,Gaza Strip,2001,
2002,Male,Gaza Strip,2002,
2006,Male,Gaza Strip,2006,
2007,Male,Gaza Strip,2007,
2008,Male,Gaza Strip,2008,
2014,Male,Gaza Strip,2014,
2015,Male,Gaza Strip,2015,
2016,Male,Gaza Strip,2016,
2019,Male,Gaza Strip,2019,
2000,Male,Palestine,2000,7.0
2001,Male,Palestine,2001,10.4
2002,Male,Palestine,2002,8.1
2006,Male,Palestine,2006,10.4
2007,Male,Palestine,2007,10.4
2008,Male,Palestine,2008,8.1
2014,Male,Palestine,2014,8.1
2015,Male,Palestine,2015,10.4
2016,Male,Palestine,2016,8.1
2019,Male,Palestine,2019,8.6
2000,Female,West Bank,2000,
2001,Female,West Bank,2001,
2002,Female,West Bank,2002,
2006,Female,West Bank,2006,
2007,Female,West Bank,2007,
2008,Female,West Bank,2008,
2014,Female,West Bank,2014,
2015,Female,West Bank,2015,
2016,Female,West Bank,2016,
2019,Female,West Bank,2019,
2000,Female,Gaza Strip,2000,
2001,Female,Gaza Strip,2001,
2002,Female,Gaza Strip,2002,
2006,Female,Gaza Strip,2006,
2007,Female,Gaza Strip,2007,
2008,Female,Gaza Strip,2008,
2014,Female,Gaza Strip,2014,
2015,Female,Gaza Strip,2015,
2016,Female,Gaza Strip,2016,
2019,Female,Gaza Strip,2019,
2000,Female,Palestine,2000,8.1
2001,Female,Palestine,2001,
2002,Female,Palestine,2002,
2006,Female,Palestine,2006,10.0
2007,Female,Palestine,2007,
2008,Female,Palestine,2008,
2014,Female,Palestine,2014,6.6
2015,Female,Palestine,2015,
2016,Female,Palestine,2016,
2019,Female,Palestine,2019,8.8
2000,Both sexes or no breakdown by sex,West Bank,2000,7.0
2001,Both sexes or no breakdown by sex,West Bank,2001,7.9
2002,Both sexes or no breakdown by sex,West Bank,2002,7.7
2006,Both sexes or no breakdown by sex,West Bank,2006,7.9
2007,Both sexes or no breakdown by sex,West Bank,2007,7.9
2008,Both sexes or no breakdown by sex,West Bank,2008,7.7
2014,Both sexes or no breakdown by sex,West Bank,2014,7.7
2015,Both sexes or no breakdown by sex,West Bank,2015,7.9
2016,Both sexes or no breakdown by sex,West Bank,2016,7.7
2019,Both sexes or no breakdown by sex,West Bank,2019,8.5
2000,Both sexes or no breakdown by sex,Gaza Strip,2000,8.3
2001,Both sexes or no breakdown by sex,Gaza Strip,2001,
2002,Both sexes or no breakdown by sex,Gaza Strip,2002,
2006,Both sexes or no breakdown by sex,Gaza Strip,2006,13.2
2007,Both sexes or no breakdown by sex,Gaza Strip,2007,
2008,Both sexes or no breakdown by sex,Gaza Strip,2008,
2014,Both sexes or no breakdown by sex,Gaza Strip,2014,7.1
2015,Both sexes or no breakdown by sex,Gaza Strip,2015,
2016,Both sexes or no breakdown by sex,Gaza Strip,2016,
2019,Both sexes or no breakdown by sex,Gaza Strip,2019,9.0
2000,Both sexes or no breakdown by sex,Palestine,2000,7.5
2001,Both sexes or no breakdown by sex,Palestine,2001,10.2
2002,Both sexes or no breakdown by sex,Palestine,2002,7.4
2006,Both sexes or no breakdown by sex,Palestine,2006,10.2
2007,Both sexes or no breakdown by sex,Palestine,2007,10.2
2008,Both sexes or no breakdown by sex,Palestine,2008,7.4
2014,Both sexes or no breakdown by sex,Palestine,2014,7.4
2015,Both sexes or no breakdown by sex,Palestine,2015,10.2
2016,Both sexes or no breakdown by sex,Palestine,2016,7.4
2019,Both sexes or no breakdown by sex,Palestine,2019,8.7
