Year,SEX,REF_AREA,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2000,M,West Bank,2000,NUMBER,IT_USE_II99,
2004,M,West Bank,2004,NUMBER,IT_USE_II99,
2006,M,West Bank,2006,NUMBER,IT_USE_II99,
2009,M,West Bank,2009,NUMBER,IT_USE_II99,
2011,M,West Bank,2011,NUMBER,IT_USE_II99,
2014,M,West Bank,2014,NUMBER,IT_USE_II99,
2018,M,West Bank,2018,NUMBER,IT_USE_II99,
2000,M,Gaza Strip,2000,NUMBER,IT_USE_II99,
2004,M,Gaza Strip,2004,NUMBER,IT_USE_II99,
2006,M,Gaza Strip,2006,NUMBER,IT_USE_II99,
2009,M,Gaza Strip,2009,NUMBER,IT_USE_II99,
2011,M,Gaza Strip,2011,NUMBER,IT_USE_II99,
2014,M,Gaza Strip,2014,NUMBER,IT_USE_II99,
2018,M,Gaza Strip,2018,NUMBER,IT_USE_II99,
2000,M,PS,2000,NUMBER,IT_USE_II99,7.9
2004,M,PS,2004,NUMBER,IT_USE_II99,16.2
2006,M,PS,2006,NUMBER,IT_USE_II99,23.6
2009,M,PS,2009,NUMBER,IT_USE_II99,38.2
2011,M,PS,2011,NUMBER,IT_USE_II99,44.6
2014,M,PS,2014,NUMBER,IT_USE_II99,59.6
2018,M,PS,2018,NUMBER,IT_USE_II99,68.4
2000,F,West Bank,2000,NUMBER,IT_USE_II99,
2004,F,West Bank,2004,NUMBER,IT_USE_II99,
2006,F,West Bank,2006,NUMBER,IT_USE_II99,
2009,F,West Bank,2009,NUMBER,IT_USE_II99,
2011,F,West Bank,2011,NUMBER,IT_USE_II99,
2014,F,West Bank,2014,NUMBER,IT_USE_II99,
2018,F,West Bank,2018,NUMBER,IT_USE_II99,
2000,F,Gaza Strip,2000,NUMBER,IT_USE_II99,
2004,F,Gaza Strip,2004,NUMBER,IT_USE_II99,
2006,F,Gaza Strip,2006,NUMBER,IT_USE_II99,
2009,F,Gaza Strip,2009,NUMBER,IT_USE_II99,
2011,F,Gaza Strip,2011,NUMBER,IT_USE_II99,
2014,F,Gaza Strip,2014,NUMBER,IT_USE_II99,
2018,F,Gaza Strip,2018,NUMBER,IT_USE_II99,
2000,F,PS,2000,NUMBER,IT_USE_II99,2.8
2004,F,PS,2004,NUMBER,IT_USE_II99,7.5
2006,F,PS,2006,NUMBER,IT_USE_II99,13.1
2009,F,PS,2009,NUMBER,IT_USE_II99,26.2
2011,F,PS,2011,NUMBER,IT_USE_II99,34.4
2014,F,PS,2014,NUMBER,IT_USE_II99,47.5
2018,F,PS,2018,NUMBER,IT_USE_II99,60.3
2000,_T,West Bank,2000,NUMBER,IT_USE_II99,5.7
2004,_T,West Bank,2004,NUMBER,IT_USE_II99,12.3
2006,_T,West Bank,2006,NUMBER,IT_USE_II99,18.9
2009,_T,West Bank,2009,NUMBER,IT_USE_II99,32.7
2011,_T,West Bank,2011,NUMBER,IT_USE_II99,40.0
2014,_T,West Bank,2014,NUMBER,IT_USE_II99,54.5
2018,_T,West Bank,2018,NUMBER,IT_USE_II99,69.1
2000,_T,Gaza Strip,2000,NUMBER,IT_USE_II99,4.7
2004,_T,Gaza Strip,2004,NUMBER,IT_USE_II99,11.1
2006,_T,Gaza Strip,2006,NUMBER,IT_USE_II99,17.6
2009,_T,Gaza Strip,2009,NUMBER,IT_USE_II99,31.5
2011,_T,Gaza Strip,2011,NUMBER,IT_USE_II99,38.8
2014,_T,Gaza Strip,2014,NUMBER,IT_USE_II99,52.2
2018,_T,Gaza Strip,2018,NUMBER,IT_USE_II99,56.6
2000,_T,PS,2000,NUMBER,IT_USE_II99,5.4
2004,_T,PS,2004,NUMBER,IT_USE_II99,11.9
2006,_T,PS,2006,NUMBER,IT_USE_II99,18.4
2009,_T,PS,2009,NUMBER,IT_USE_II99,32.3
2011,_T,PS,2011,NUMBER,IT_USE_II99,39.6
2014,_T,PS,2014,NUMBER,IT_USE_II99,53.7
2018,_T,PS,2018,NUMBER,IT_USE_II99,64.5
