Year,AREA,TIME_DETAIL,Value
2000,West Bank,2000,
2002,West Bank,2002,
2007,West Bank,2007,
2009,West Bank,2009,2.6
2010,West Bank,2010,
2011,West Bank,2011,
2012,West Bank,2012,
2013,West Bank,2013,
2014,West Bank,2014,
2015,West Bank,2015,
2016,West Bank,2016,
2017,West Bank,2017,
2018,West Bank,2018,
2000,Gaza Strip,2000,
2002,Gaza Strip,2002,
2007,Gaza Strip,2007,
2009,Gaza Strip,2009,0.64
2010,Gaza Strip,2010,
2011,Gaza Strip,2011,
2012,Gaza Strip,2012,
2013,Gaza Strip,2013,
2014,Gaza Strip,2014,
2015,Gaza Strip,2015,
2016,Gaza Strip,2016,
2017,Gaza Strip,2017,
2018,Gaza Strip,2018,
2000,Palestine,2000,1.1
2002,Palestine,2002,0.3
2007,Palestine,2007,3.5
2009,Palestine,2009,2.2
2010,Palestine,2010,2.5
2011,Palestine,2011,1.9
2012,Palestine,2012,2.7
2013,Palestine,2013,2.1
2014,Palestine,2014,2.6
2015,Palestine,2015,1.7
2016,Palestine,2016,2.2
2017,Palestine,2017,2.6
2018,Palestine,2018,2.5
