Year,seriesdescription,geoarea,sex,age,location,education-level,occupation,comp-breakdown,disability-status,unit,scale,Value
2017,SL_TLF_UEMDIS,ZM,F,_T,_T,_T,_T,_T,PD,Percent,1,10.0
2017,SL_TLF_UEMDIS,ZM,M,_T,_T,_T,_T,_T,PD,Percent,1,10.2
2017,SL_TLF_UEMDIS,ZM,_T,_T,_T,_T,_T,_T,PD,Percent,1,10.1
2017,SL_TLF_UEM,ZM,F,_T,_T,_T,_T,_T,_T,Percent,1,13.5
2017,SL_TLF_UEM,ZM,F,Y_GE70,_T,_T,_T,_T,_T,Percent,1,3.5
2017,SL_TLF_UEM,ZM,F,Y15T19,_T,_T,_T,_T,_T,Percent,1,30.9
2017,SL_TLF_UEM,ZM,F,Y20T24,_T,_T,_T,_T,_T,Percent,1,28.4
2017,SL_TLF_UEM,ZM,F,Y25T29,_T,_T,_T,_T,_T,Percent,1,16.8
2017,SL_TLF_UEM,ZM,F,Y30T34,_T,_T,_T,_T,_T,Percent,1,11.6
2017,SL_TLF_UEM,ZM,F,Y35T39,_T,_T,_T,_T,_T,Percent,1,8.9
2017,SL_TLF_UEM,ZM,F,Y40T44,_T,_T,_T,_T,_T,Percent,1,7.6
2017,SL_TLF_UEM,ZM,F,Y46T49,_T,_T,_T,_T,_T,Percent,1,2.7
2017,SL_TLF_UEM,ZM,F,Y50T54,_T,_T,_T,_T,_T,Percent,1,6.7
2017,SL_TLF_UEM,ZM,F,Y55T59,_T,_T,_T,_T,_T,Percent,1,4.5
2017,SL_TLF_UEM,ZM,F,Y60T64,_T,_T,_T,_T,_T,Percent,1,3.4
2017,SL_TLF_UEM,ZM,F,Y65T69,_T,_T,_T,_T,_T,Percent,1,3.7
2017,SL_TLF_UEM,ZM,M,_T,_T,_T,_T,_T,_T,Percent,1,11.9
2017,SL_TLF_UEM,ZM,M,Y_GE70,_T,_T,_T,_T,_T,Percent,1,2.7
2017,SL_TLF_UEM,ZM,M,Y15T19,_T,_T,_T,_T,_T,Percent,1,38.2
2017,SL_TLF_UEM,ZM,M,Y20T24,_T,_T,_T,_T,_T,Percent,1,24.1
2017,SL_TLF_UEM,ZM,M,Y25T29,_T,_T,_T,_T,_T,Percent,1,13.4
2017,SL_TLF_UEM,ZM,M,Y30T34,_T,_T,_T,_T,_T,Percent,1,9.6
2017,SL_TLF_UEM,ZM,M,Y35T39,_T,_T,_T,_T,_T,Percent,1,8.5
2017,SL_TLF_UEM,ZM,M,Y40T44,_T,_T,_T,_T,_T,Percent,1,5.8
2017,SL_TLF_UEM,ZM,M,Y46T49,_T,_T,_T,_T,_T,Percent,1,7.5
2017,SL_TLF_UEM,ZM,M,Y50T54,_T,_T,_T,_T,_T,Percent,1,6.7
2017,SL_TLF_UEM,ZM,M,Y55T59,_T,_T,_T,_T,_T,Percent,1,7.9
2017,SL_TLF_UEM,ZM,M,Y60T64,_T,_T,_T,_T,_T,Percent,1,3.5
2017,SL_TLF_UEM,ZM,M,Y65T69,_T,_T,_T,_T,_T,Percent,1,6.1
2017,SL_TLF_UEM,ZM,_T,_T,_T,_T,_T,_T,_T,Percent,1,12.6
2017,SL_TLF_UEM,ZM,_T,Y_GE70,_T,_T,_T,_T,_T,Percent,1,3.0
2017,SL_TLF_UEM,ZM,_T,Y15T19,_T,_T,_T,_T,_T,Percent,1,34.9
2017,SL_TLF_UEM,ZM,_T,Y20T24,_T,_T,_T,_T,_T,Percent,1,26.0
2017,SL_TLF_UEM,ZM,_T,Y25T29,_T,_T,_T,_T,_T,Percent,1,14.7
2017,SL_TLF_UEM,ZM,_T,Y30T34,_T,_T,_T,_T,_T,Percent,1,10.4
2017,SL_TLF_UEM,ZM,_T,Y35T39,_T,_T,_T,_T,_T,Percent,1,8.7
2017,SL_TLF_UEM,ZM,_T,Y40T44,_T,_T,_T,_T,_T,Percent,1,6.6
2017,SL_TLF_UEM,ZM,_T,Y46T49,_T,_T,_T,_T,_T,Percent,1,5.8
2017,SL_TLF_UEM,ZM,_T,Y50T54,_T,_T,_T,_T,_T,Percent,1,6.7
2017,SL_TLF_UEM,ZM,_T,Y55T59,_T,_T,_T,_T,_T,Percent,1,6.4
2017,SL_TLF_UEM,ZM,_T,Y60T64,_T,_T,_T,_T,_T,Percent,1,3.5
2017,SL_TLF_UEM,ZM,_T,Y65T69,_T,_T,_T,_T,_T,Percent,1,5.2
