Year,URBANISATION,SEX,AREA,Value
2018,Total,Male,West Bank,
2018,Total,Male,Gaza Strip,
2018,Total,Male,Palestine,11.6
2018,Total,Female,West Bank,
2018,Total,Female,Gaza Strip,
2018,Total,Female,Palestine,9.2
2018,Total,Both sexes or no breakdown by sex,West Bank,8.0
2018,Total,Both sexes or no breakdown by sex,Gaza Strip,14.5
2018,Total,Both sexes or no breakdown by sex,Palestine,10.5
2018,Urban,Male,West Bank,
2018,Urban,Male,Gaza Strip,
2018,Urban,Male,Palestine,
2018,Urban,Female,West Bank,
2018,Urban,Female,Gaza Strip,
2018,Urban,Female,Palestine,
2018,Urban,Both sexes or no breakdown by sex,West Bank,
2018,Urban,Both sexes or no breakdown by sex,Gaza Strip,
2018,Urban,Both sexes or no breakdown by sex,Palestine,10.3
2018,Rural,Male,West Bank,
2018,Rural,Male,Gaza Strip,
2018,Rural,Male,Palestine,
2018,Rural,Female,West Bank,
2018,Rural,Female,Gaza Strip,
2018,Rural,Female,Palestine,
2018,Rural,Both sexes or no breakdown by sex,West Bank,
2018,Rural,Both sexes or no breakdown by sex,Gaza Strip,
2018,Rural,Both sexes or no breakdown by sex,Palestine,7.3
2018,Camp,Male,West Bank,
2018,Camp,Male,Gaza Strip,
2018,Camp,Male,Palestine,
2018,Camp,Female,West Bank,
2018,Camp,Female,Gaza Strip,
2018,Camp,Female,Palestine,
2018,Camp,Both sexes or no breakdown by sex,West Bank,
2018,Camp,Both sexes or no breakdown by sex,Gaza Strip,
2018,Camp,Both sexes or no breakdown by sex,Palestine,16.9
